2012-10-31 14:11:29 - PHP Notice:  Error: Unknown column 'rating' in 'order clause'<br />Error No: 1054<br />SELECT p.product_id, ps.product_special_id AS product_special_id FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_special ps ON (p.product_id = ps.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p.product_id IN (SELECT p2c.product_id FROM oc_product_to_category p2c WHERE p2c.category_id = '111') GROUP BY p.product_id ORDER BY rating ASC in /home/opencart/www/system/database/mysql.php on line 49
2012-10-31 14:36:08 - PHP Notice:  Undefined index: email in /home/opencart/www/catalog/controller/checkout/login.php on line 54
2012-10-31 14:36:08 - PHP Notice:  Undefined index: password in /home/opencart/www/catalog/controller/checkout/login.php on line 54
2012-10-31 14:40:49 - PHP Notice:  Error: Unknown column 'rating' in 'order clause'<br />Error No: 1054<br />SELECT p.product_id, ps.product_special_id AS product_special_id FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_special ps ON (p.product_id = ps.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p.product_id IN (SELECT p2c.product_id FROM oc_product_to_category p2c WHERE p2c.category_id = '64') GROUP BY p.product_id ORDER BY rating ASC in /home/opencart/www/system/database/mysql.php on line 49
2012-10-31 14:48:53 - PHP Notice:  Undefined variable: order_id in /home/opencart/www/catalog/controller/account/order.php on line 149
2012-10-31 15:11:11 - PHP Notice:  Undefined variable: order_id in /home/opencart/www/catalog/controller/account/order.php on line 149
2012-10-31 15:44:24 - PHP Notice:  Error: Unknown column 'rating' in 'order clause'<br />Error No: 1054<br />SELECT p.product_id, ps.product_special_id AS product_special_id FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_special ps ON (p.product_id = ps.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p.product_id IN (SELECT p2c.product_id FROM oc_product_to_category p2c WHERE p2c.category_id = '108') GROUP BY p.product_id ORDER BY rating DESC in /home/opencart/www/system/database/mysql.php on line 49
2012-10-31 16:45:24 - PHP Notice:  Undefined variable: order_id in /home/opencart/www/catalog/controller/account/order.php on line 149
2012-10-31 16:51:10 - PHP Notice:  session_start(): ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/opencart/www/system/library/session.php on line 11
2012-10-31 17:38:09 - PHP Notice:  Undefined variable: order_id in /home/opencart/www/catalog/controller/account/order.php on line 149
2012-10-31 18:19:31 - PHP Notice:  Error: Could not load model report/sale_advanced_coupon! in /home/opencart/www/system/engine/loader.php on line 37
2012-10-31 19:33:39 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:34:57 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:36:00 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:36:02 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:36:38 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:37:29 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:37:37 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:42:04 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:42:21 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:44:27 - PHP Notice:  Error: Unknown column 'rating' in 'order clause'<br />Error No: 1054<br />SELECT p.product_id, ps.product_special_id AS product_special_id FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_special ps ON (p.product_id = ps.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p.product_id IN (SELECT p2c.product_id FROM oc_product_to_category p2c WHERE p2c.category_id = '98' OR p2c.category_id = '97' OR p2c.category_id = '96' OR p2c.category_id = '94') GROUP BY p.product_id ORDER BY rating DESC in /home/opencart/www/system/database/mysql.php on line 49
2012-10-31 19:45:28 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 19:59:20 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 21:57:57 - PHP Notice:  Undefined variable: order_id in /home/opencart/www/catalog/controller/account/order.php on line 149
2012-10-31 22:02:49 - PHP Notice:  Error: Unknown column 'rating' in 'order clause'<br />Error No: 1054<br />SELECT p.product_id, ps.product_special_id AS product_special_id FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_special ps ON (p.product_id = ps.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p.product_id IN (SELECT p2c.product_id FROM oc_product_to_category p2c WHERE p2c.category_id = '95') GROUP BY p.product_id ORDER BY rating ASC in /home/opencart/www/system/database/mysql.php on line 49
2012-10-31 22:36:55 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:37:04 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:37:13 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:37:23 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:42:36 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:42:49 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:43:06 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:43:19 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:43:42 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:44:01 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:44:19 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:44:39 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:44:56 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:45:12 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:45:32 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 22:45:44 - PHP Notice:  Undefined index: giftwrap in /home/opencart/www/admin/model/catalog/product.php on line 128
2012-10-31 23:16:53 - PHP Notice:  Error: Unknown column 'rating' in 'order clause'<br />Error No: 1054<br />SELECT p.product_id, ps.product_special_id AS product_special_id FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_special ps ON (p.product_id = ps.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p.product_id IN (SELECT p2c.product_id FROM oc_product_to_category p2c WHERE p2c.category_id = '98' OR p2c.category_id = '97' OR p2c.category_id = '96' OR p2c.category_id = '94') GROUP BY p.product_id ORDER BY rating ASC in /home/opencart/www/system/database/mysql.php on line 49
